timestamp,frame_number,blink_count
33.333333333333336,1.0,0
66.66666666666667,2.0,0
100.0,3.0,0
133.33333333333334,4.0,0
166.66666666666666,5.0,0
200.0,6.0,0
233.33333333333334,7.0,0
266.6666666666667,8.0,0
300.0,9.0,0
333.3333333333333,10.0,0
366.66666666666663,11.0,0
400.0,12.0,0
433.33333333333337,13.0,0
466.6666666666667,14.0,0
500.0,15.0,0
533.3333333333334,16.0,0
566.6666666666666,17.0,0
600.0,18.0,0
633.3333333333333,19.0,0
666.6666666666666,20.0,0
700.0,21.0,0
733.3333333333333,22.0,0
766.6666666666667,23.0,0
800.0,24.0,0
833.3333333333334,25.0,0
866.6666666666667,26.0,0
900.0,27.0,0
933.3333333333334,28.0,0
966.6666666666666,29.0,0
1000.0,30.0,0
1033.3333333333335,31.0,0
1066.6666666666667,32.0,0
1100.0,33.0,0
1133.3333333333333,34.0,0
1166.6666666666667,35.0,0
1200.0,36.0,0
1233.3333333333335,37.0,0
1266.6666666666665,38.0,0
1300.0,39.0,0
1333.3333333333333,40.0,0
1366.6666666666667,41.0,0
1400.0,42.0,0
1433.3333333333333,43.0,0
1466.6666666666665,44.0,0
1500.0,45.0,0
1533.3333333333335,46.0,0
1566.6666666666667,47.0,0
1600.0,48.0,0
1633.3333333333333,49.0,0
1666.6666666666667,50.0,0
1700.0,51.0,0
1733.3333333333335,52.0,0
1766.6666666666665,53.0,0
1800.0,54.0,0
1833.3333333333333,55.0,0
1866.6666666666667,56.0,0
1900.0,57.0,0
1933.3333333333333,58.0,0
1966.6666666666665,59.0,0
2000.0,60.0,0
2033.3333333333333,61.0,0
2066.666666666667,62.0,0
2100.0,63.0,0
2133.3333333333335,64.0,0
2166.6666666666665,65.0,0
2200.0,66.0,0
2233.3333333333335,67.0,0
2266.6666666666665,68.0,0
2300.0,69.0,0
2333.3333333333335,70.0,1
2366.6666666666665,71.0,1
2400.0,72.0,1
2433.333333333333,73.0,1
2466.666666666667,74.0,1
2500.0,75.0,1
2533.333333333333,76.0,1
2566.666666666667,77.0,1
2600.0,78.0,1
2633.3333333333335,79.0,1
2666.6666666666665,80.0,1
2700.0,81.0,1
2733.3333333333335,82.0,1
2766.6666666666665,83.0,1
2800.0,84.0,1
2833.3333333333335,85.0,1
2866.6666666666665,86.0,1
2900.0,87.0,1
2933.333333333333,88.0,1
2966.666666666667,89.0,1
3000.0,90.0,1
3033.333333333333,91.0,1
3066.666666666667,92.0,1
3100.0,93.0,1
3133.3333333333335,94.0,1
3166.6666666666665,95.0,1
3200.0,96.0,1
3233.3333333333335,97.0,1
3266.6666666666665,98.0,1
3300.0,99.0,1
3333.3333333333335,100.0,1
3366.6666666666665,101.0,1
3400.0,102.0,1
3433.333333333333,103.0,1
3466.666666666667,104.0,1
3500.0,105.0,1
3533.333333333333,106.0,1
3566.666666666667,107.0,1
3600.0,108.0,1
3633.3333333333335,109.0,1
3666.6666666666665,110.0,1
3700.0,111.0,1
3733.3333333333335,112.0,1
3766.6666666666665,113.0,1
3800.0,114.0,1
3833.3333333333335,115.0,1
3866.6666666666665,116.0,1
3900.0,117.0,1
3933.333333333333,118.0,1
3966.666666666667,119.0,1
4000.0,120.0,1
4033.333333333333,121.0,1
4066.6666666666665,122.0,1
4100.0,123.0,1
4133.333333333334,124.0,1
4166.666666666667,125.0,1
4200.0,126.0,1
4233.333333333333,127.0,1
4266.666666666667,128.0,1
4300.0,129.0,1
4333.333333333333,130.0,1
4366.666666666666,131.0,1
4400.0,132.0,1
4433.333333333334,133.0,1
4466.666666666667,134.0,1
4500.0,135.0,1
4533.333333333333,136.0,1
4566.666666666666,137.0,1
4600.0,138.0,1
4633.333333333334,139.0,1
4666.666666666667,140.0,1
4700.0,141.0,1
4733.333333333333,142.0,1
4766.666666666667,143.0,1
4800.0,144.0,1
4833.333333333333,145.0,1
4866.666666666666,146.0,1
4900.0,147.0,1
4933.333333333334,148.0,1
4966.666666666667,149.0,1
5000.0,150.0,1
5033.333333333333,151.0,1
5066.666666666666,152.0,1
5100.0,153.0,1
5133.333333333334,154.0,1
5166.666666666667,155.0,1
5200.0,156.0,1
5233.333333333333,157.0,1
5266.666666666667,158.0,1
5300.0,159.0,1
5333.333333333333,160.0,1
5366.666666666666,161.0,1
5400.0,162.0,1
5433.333333333334,163.0,1
5466.666666666667,164.0,1
5500.0,165.0,1
5533.333333333333,166.0,1
5566.666666666666,167.0,1
5600.0,168.0,1
5633.333333333334,169.0,1
5666.666666666667,170.0,1
5700.0,171.0,1
5733.333333333333,172.0,1
5766.666666666667,173.0,1
5800.0,174.0,1
5833.333333333333,175.0,1
5866.666666666666,176.0,1
5900.0,177.0,1
5933.333333333334,178.0,1
5966.666666666667,179.0,1
6000.0,180.0,1
6033.333333333333,181.0,1
6066.666666666666,182.0,1
6100.0,183.0,1
6133.333333333334,184.0,1
6166.666666666667,185.0,1
6200.0,186.0,1
6233.333333333333,187.0,2
6266.666666666667,188.0,2
6300.0,189.0,2
6333.333333333333,190.0,2
6366.666666666666,191.0,2
6400.0,192.0,2
6433.333333333334,193.0,2
6466.666666666667,194.0,2
6500.0,195.0,2
6533.333333333333,196.0,2
6566.666666666666,197.0,2
6600.0,198.0,2
6633.333333333334,199.0,2
6666.666666666667,200.0,2
